tempo,filosofo,status,garfos_usados
00:18:19,Filósofo 1,está pensando
00:18:19,Filósofo 2,está pensando
00:18:19,Filósofo 3,está pensando
00:18:19,Filósofo 4,está pensando
00:18:19,Filósofo 5,está pensando
00:18:20,Filósofo 2,pegou garfos,Garfo 2 e Garfo 3
00:18:20,Filósofo 4,pegou garfos,Garfo 4 e Garfo 5
00:18:20,Filósofo 4,está comendo,Garfo 4 e Garfo 5
00:18:20,Filósofo 2,está comendo,Garfo 2 e Garfo 3
00:18:21,Filósofo 2,largou garfos,Garfo 2 e Garfo 3
00:18:21,Filósofo 4,largou garfos,Garfo 4 e Garfo 5
00:18:21,Filósofo 2,está pensando
00:18:21,Filósofo 4,está pensando
00:18:21,Filósofo 3,pegou garfos,Garfo 3 e Garfo 4
00:18:21,Filósofo 3,está comendo,Garfo 3 e Garfo 4
00:18:21,Filósofo 1,pegou garfos,Garfo 1 e Garfo 2
00:18:21,Filósofo 1,está comendo,Garfo 1 e Garfo 2
00:18:22,Filósofo 3,largou garfos,Garfo 3 e Garfo 4
00:18:22,Filósofo 3,está pensando
00:18:22,Filósofo 1,largou garfos,Garfo 1 e Garfo 2
00:18:22,Filósofo 1,está pensando
00:18:23,Filósofo 5,pegou garfos,Garfo 5 e Garfo 1
00:18:23,Filósofo 5,está comendo,Garfo 5 e Garfo 1
00:18:23,Filósofo 2,pegou garfos,Garfo 2 e Garfo 3
00:18:23,Filósofo 2,está comendo,Garfo 2 e Garfo 3
00:18:23,Filósofo 3,pegou garfos,Garfo 3 e Garfo 4
00:18:23,Filósofo 3,está comendo,Garfo 3 e Garfo 4
00:18:24,Filósofo 2,largou garfos,Garfo 2 e Garfo 3
00:18:24,Filósofo 2,está pensando
00:18:24,Filósofo 5,largou garfos,Garfo 5 e Garfo 1
00:18:24,Filósofo 5,está pensando
00:18:24,Filósofo 3,largou garfos,Garfo 3 e Garfo 4
00:18:24,Filósofo 1,pegou garfos,Garfo 1 e Garfo 2
00:18:24,Filósofo 1,está comendo,Garfo 1 e Garfo 2
00:18:24,Filósofo 3,está pensando
00:18:25,Filósofo 4,pegou garfos,Garfo 4 e Garfo 5
00:18:25,Filósofo 4,está comendo,Garfo 4 e Garfo 5
00:18:25,Filósofo 1,largou garfos,Garfo 1 e Garfo 2
00:18:25,Filósofo 1,está pensando
00:18:26,Filósofo 4,largou garfos,Garfo 4 e Garfo 5
00:18:26,Filósofo 4,está pensando
00:18:26,Filósofo 2,pegou garfos,Garfo 2 e Garfo 3
00:18:26,Filósofo 2,está comendo,Garfo 2 e Garfo 3
00:18:26,Filósofo 5,pegou garfos,Garfo 5 e Garfo 1
00:18:26,Filósofo 5,está comendo,Garfo 5 e Garfo 1
00:18:27,Filósofo 2,largou garfos,Garfo 2 e Garfo 3
00:18:27,Filósofo 2,terminou sua execução
00:18:27,Filósofo 5,largou garfos,Garfo 5 e Garfo 1
00:18:27,Filósofo 4,pegou garfos,Garfo 4 e Garfo 5
00:18:27,Filósofo 5,está pensando
00:18:27,Filósofo 3,pegou garfos,Garfo 3 e Garfo 4
00:18:27,Filósofo 4,está comendo,Garfo 4 e Garfo 5
00:18:27,Filósofo 3,está comendo,Garfo 3 e Garfo 4
00:18:27,Filósofo 1,pegou garfos,Garfo 1 e Garfo 2
00:18:27,Filósofo 1,está comendo,Garfo 1 e Garfo 2
00:18:28,Filósofo 3,largou garfos,Garfo 3 e Garfo 4
00:18:28,Filósofo 3,terminou sua execução
00:18:28,Filósofo 4,largou garfos,Garfo 4 e Garfo 5
00:18:28,Filósofo 4,terminou sua execução
00:18:28,Filósofo 1,largou garfos,Garfo 1 e Garfo 2
00:18:28,Filósofo 1,terminou sua execução
00:18:29,Filósofo 5,pegou garfos,Garfo 5 e Garfo 1
00:18:29,Filósofo 5,está comendo,Garfo 5 e Garfo 1
00:18:30,Filósofo 5,largou garfos,Garfo 5 e Garfo 1
00:18:30,Filósofo 5,terminou sua execução
