tempo,filosofo,status,garfos_usados
00:17:17,Filósofo 1,está pensando
00:17:17,Filósofo 2,está pensando
00:17:17,Filósofo 3,está pensando
00:17:17,Filósofo 4,está pensando
00:17:17,Filósofo 5,está pensando
00:17:18,Filósofo 1,pegou garfos,Garfo 1 e Garfo 2
00:17:18,Filósofo 1,está comendo,Garfo 1 e Garfo 2
00:17:18,Filósofo 3,pegou garfos,Garfo 3 e Garfo 4
00:17:18,Filósofo 3,está comendo,Garfo 3 e Garfo 4
00:17:19,Filósofo 3,largou garfos,Garfo 3 e Garfo 4
00:17:19,Filósofo 3,está pensando
00:17:19,Filósofo 1,largou garfos,Garfo 1 e Garfo 2
00:17:19,Filósofo 1,está pensando
00:17:19,Filósofo 4,pegou garfos,Garfo 4 e Garfo 5
00:17:19,Filósofo 4,está comendo,Garfo 4 e Garfo 5
00:17:20,Filósofo 2,pegou garfos,Garfo 2 e Garfo 3
00:17:20,Filósofo 2,está comendo,Garfo 2 e Garfo 3
00:17:20,Filósofo 4,largou garfos,Garfo 4 e Garfo 5
00:17:20,Filósofo 4,está pensando
00:17:21,Filósofo 2,largou garfos,Garfo 2 e Garfo 3
00:17:21,Filósofo 2,está pensando
00:17:21,Filósofo 3,pegou garfos,Garfo 3 e Garfo 4
00:17:21,Filósofo 3,está comendo,Garfo 3 e Garfo 4
00:17:21,Filósofo 1,pegou garfos,Garfo 1 e Garfo 2
00:17:21,Filósofo 1,está comendo,Garfo 1 e Garfo 2
00:17:22,Filósofo 3,largou garfos,Garfo 3 e Garfo 4
00:17:22,Filósofo 3,está pensando
00:17:22,Filósofo 5,deadlock detectado,Garfo 5 e Garfo 1
00:17:22,Filósofo 4,pegou garfos,Garfo 4 e Garfo 5
00:17:22,Filósofo 4,está comendo,Garfo 4 e Garfo 5
00:17:22,Filósofo 1,largou garfos,Garfo 1 e Garfo 2
00:17:22,Filósofo 1,está pensando
00:17:23,Filósofo 2,pegou garfos,Garfo 2 e Garfo 3
00:17:23,Filósofo 2,está comendo,Garfo 2 e Garfo 3
00:17:23,Filósofo 4,largou garfos,Garfo 4 e Garfo 5
00:17:23,Filósofo 4,está pensando
00:17:24,Filósofo 2,largou garfos,Garfo 2 e Garfo 3
00:17:24,Filósofo 2,está pensando
00:17:24,Filósofo 3,pegou garfos,Garfo 3 e Garfo 4
00:17:24,Filósofo 3,está comendo,Garfo 3 e Garfo 4
00:17:24,Filósofo 1,pegou garfos,Garfo 1 e Garfo 2
00:17:24,Filósofo 1,está comendo,Garfo 1 e Garfo 2
00:17:25,Filósofo 3,largou garfos,Garfo 3 e Garfo 4
00:17:25,Filósofo 3,terminou sua execução
00:17:25,Filósofo 4,pegou garfos,Garfo 4 e Garfo 5
00:17:25,Filósofo 4,está comendo,Garfo 4 e Garfo 5
00:17:25,Filósofo 1,largou garfos,Garfo 1 e Garfo 2
00:17:25,Filósofo 1,terminou sua execução
00:17:26,Filósofo 2,pegou garfos,Garfo 2 e Garfo 3
00:17:26,Filósofo 2,está comendo,Garfo 2 e Garfo 3
00:17:26,Filósofo 4,largou garfos,Garfo 4 e Garfo 5
00:17:26,Filósofo 4,terminou sua execução
00:17:27,Filósofo 2
